Łączna liczba podatników dla typu konta, którzy zgłosili do opodatkowania pow. użytkową wg suma_wielk>=50 and suma_wielk<100 m2;typ_osoby;rok;ilosc_podatników
Fizyczne;Osoba fizyczna;2015;51729
Fizyczne;Osoba fizyczna;2016;55435
Fizyczne;Osoba fizyczna;2017;60049
Fizyczne;Osoba fizyczna;2018;67377
Fizyczne;Osoba fizyczna;2019;73049
Fizyczne;Osoba fizyczna;2020;77381
Fizyczne;Osoba fizyczna;2021;81639
Fizyczne;Osoba fizyczna;2022;84750
Fizyczne;Osoba fizyczna;2023;87119
Fizyczne;Osoba fizyczna;2024;88439
